"","Elevation","Date","Group","Upper","Lower","Acres","Acre.Feet"
"1",-240.8,2023-10-01,"Projection",-240.6,-241,NA,NA
"2",-240.9,2023-11-01,"Projection",-240.6,-241.2,NA,NA
"3",-240.8,2023-12-01,"Projection",-240.4,-241.2,NA,NA
"4",-240.6,2024-01-01,"Projection",-240.2,-241.1,NA,NA
"5",-240.5,2024-02-01,"Projection",-240,-240.9,NA,NA
"6",-240.3,2024-03-01,"Projection",-239.8,-240.8,NA,NA
"7",-240.2,2024-04-01,"Projection",-239.6,-240.8,NA,NA
"8",-240.3,2024-05-01,"Projection",-239.6,-240.9,NA,NA
"9",-240.4,2024-06-01,"Projection",-239.7,-241.1,NA,NA
"10",-240.7,2024-07-01,"Projection",-239.9,-241.4,NA,NA
"11",-241,2024-08-01,"Projection",-240.2,-241.7,199018.318869226,4557973.12119287
"12",-241.3,2024-09-01,"Projection",-240.5,-242,NA,NA
"13",-241.5,2024-10-01,"Projection",-240.7,-242.3,NA,NA
"14",-241.6,2024-11-01,"Projection",-240.7,-242.4,NA,NA
"15",-241.5,2024-12-01,"Projection",-240.6,-242.4,NA,NA
"16",-241.3,2025-01-01,"Projection",-240.4,-242.3,NA,NA
"17",-241.1,2025-02-01,"Projection",-240.2,-242.1,NA,NA
"18",-241,2025-03-01,"Projection",-240,-242,199018.318869226,4557973.12119287
"19",-240.9,2025-04-01,"Projection",-239.9,-241.9,NA,NA
"20",-240.9,2025-05-01,"Projection",-239.9,-242,NA,NA
"21",-241.1,2025-06-01,"Projection",-240,-242.2,NA,NA
"22",-241.3,2025-07-01,"Projection",-240.2,-242.5,NA,NA
"23",-241.6,2025-08-01,"Projection",-240.5,-242.8,NA,NA
"24",-241.9,2025-09-01,"Projection",-240.7,-243.1,NA,NA
"25",-242.2,2025-10-01,"Projection",-240.9,-243.4,NA,NA
"26",-242.2,2025-11-01,"Projection",-241,-243.5,NA,NA
"27",-242.2,2025-12-01,"Projection",-240.9,-243.5,NA,NA
"28",-242,2026-01-01,"Projection",-240.7,-243.3,195570.007387691,4361429.00849739
"29",-241.8,2026-02-01,"Projection",-240.4,-243.2,NA,NA
"30",-241.7,2026-03-01,"Projection",-240.3,-243.1,NA,NA
"31",-241.6,2026-04-01,"Projection",-240.2,-243,NA,NA
"32",-241.6,2026-05-01,"Projection",-240.2,-243.1,NA,NA
"33",-241.8,2026-06-01,"Projection",-240.3,-243.2,NA,NA
"34",-242,2026-07-01,"Projection",-240.5,-243.5,195570.007387691,4361429.00849739
"35",-242.3,2026-08-01,"Projection",-240.8,-243.9,NA,NA
"36",-242.6,2026-09-01,"Projection",-241,-244.2,NA,NA
"37",-242.8,2026-10-01,"Projection",-241.2,-244.4,NA,NA
"38",-242.9,2026-11-01,"Projection",-241.3,-244.6,NA,NA
"39",-242.9,2026-12-01,"Projection",-241.2,-244.5,NA,NA
"40",-242.7,2027-01-01,"Projection",-241,-244.4,NA,NA
"41",-242.5,2027-02-01,"Projection",-240.8,-244.2,NA,NA
"42",-242.3,2027-03-01,"Projection",-240.6,-244.1,NA,NA
"43",-242.3,2027-04-01,"Projection",-240.5,-244,NA,NA
"44",-242.3,2027-05-01,"Projection",-240.5,-244.1,NA,NA
"45",-242.4,2027-06-01,"Projection",-240.6,-244.3,NA,NA
"46",-242.7,2027-07-01,"Projection",-240.8,-244.6,NA,NA
"47",-243,2027-08-01,"Projection",-241.1,-244.9,191896.735403666,4168717.72066759
"48",-243.3,2027-09-01,"Projection",-241.4,-245.2,NA,NA
"49",-243.5,2027-10-01,"Projection",-241.6,-245.5,NA,NA
"50",-243.6,2027-11-01,"Projection",-241.6,-245.6,NA,NA
"51",-243.5,2027-12-01,"Projection",-241.5,-245.6,NA,NA
"52",-243.4,2028-01-01,"Projection",-241.3,-245.4,NA,NA
"53",-243.2,2028-02-01,"Projection",-241.1,-245.3,NA,NA
"54",-243,2028-03-01,"Projection",-240.9,-245.1,191896.735403666,4168717.72066759
